Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
"LAMINA PERFIL Y RECORTE, S.A. DE C.V.","San Esteban 48 B y C, Azcapotzalco, 02020 Ciudad de México, CDMX",55 5260 7032,19.4832099,-99.1775874,laminaperfil.com,NULL,15 reseñas,"4,5",Chapistería
"Hegutex, S.A. De C.V.","Cuauhtémoc 1, Centro Histórico de la Cdad. de México, Las Cruces, Cuauhtémoc, 06060 Ciudad de México, CDMX",55 5522 4062,19.4302705,-99.1293177,NULL,NULL,,,Tienda de telas
Editorial Iztaccihuatl S.A. de C.V.,"José María Pino Suárez Sn, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06060 Ciudad de México, CDMX",55 5522 1037,19.4292899,-99.1327416,NULL,NULL,,,Librería
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
LITOLOVER S.A de C.V,"Av. F.F.C.C. Industrial 265, Moctezuma 2da Secc, Venustiano Carranza, 15530 Ciudad de México, CDMX",55 1949 6989,19.4379497,-99.0972656,NULL,NULL,2 reseñas,"3,0",Imprenta
Anytime Fitness Mixcoac,"Miguel Ángel 170 Delegación Benito Juárez Serviplaza Mixcoac Local 31 Colonia Nonoalco, Mixcoac, 03700 Ciudad de México, CDMX",55 7960 5898,19.3839329,-99.1896889,anytimefitness.com.mx,NULL,109 reseñas,"4,0",Gimnasio
Amores y Sabores,"Calzada de los leones # 145, Local 9, Col. Las Águilas, Del. Álvaro Obregón, 01710 Ciudad de México, CDMX",55 1520 5920,19.361362,-99.19712,amoresysabores.com.mx,NULL,25 reseñas,"4,4",Tienda de alimentación
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Eco Signs,"Bartolomé R. Salido 126, Vértiz Narvarte, Benito Juárez, 03600 Ciudad de México, CDMX",55 5519 7863,19.3818097,-99.1486161,NULL,NULL,,,Tienda de señalización
Conservas La Torre,"A Teoloyucan Km 24.5, San Lorenzo Rio Tenco, 54830 Tepotzotlán, Méx.",55 5750 1122,19.7087072,-99.1939309,NULL,NULL,3 reseñas,"5,0",Fábrica
Santi- Agro Maravatío S.A. de C.V.,"Blvd. 25 de Julio de 1540 59, Santiago Maravatío, Gto.",466 451 0072,NULL,NULL,santiagro.com,NULL,14 reseñas,"3,7",Servicio agrícola
Mega Envases S.A. de C.V,"Hidalgo 67, Tizapán San Ángel, Progreso, Álvaro Obregón, 01080 Ciudad de México, CDMX",55 5616 8411,19.3413686,-99.1997876,megaenvases.com,NULL,4 reseñas,"3,5",Importador
México Intelligent Technology,"Av. Tlahuac 204-1132 C, Granjas Estrella, Iztapalapa, 09880 Ciudad de México, CDMX",55 5608 9180,19.3209792,-99.0875445,mit-mexico.com,NULL,,,Consultora de administración empresarial
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Nifersa IT México,"Av. Ejército Nacional Mexicano 205, Verónica Anzúres, Miguel Hidalgo, 11300 Ciudad de México, CDMX",55 2623 1869,19.4361196,-99.1789254,nifersa.com.mx,NULL,5 reseñas,"5,0",Empresa de software
Casa Productora S.A. de C.V.,"Av. Homero 538-Int 303, Polanco, Polanco V Secc, Miguel Hidalgo, 11570 Ciudad de México, CDMX",55 5220 3538,19.4353665,-99.1902946,lacasaproductora.mx,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Trg Mexico, S. De R.l. De Cv","Canal de Miramontes 1493, Country Club Churubusco, Coyoacán, 04220 Ciudad de México, CDMX",55 7092 8794,19.3550595,-99.1348394,NULL,NULL,,,Oficinas de empresa
Zapatillas Bamba,"San Isidro Tecpatl 202, Sta Lucia, Azcapotzalco, 02760 Ciudad de México, CDMX",55 5352 0628,19.4820182,-99.1970529,p3df.mex.tl,NULL,2 reseñas,"5,0",Zapatería
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Comercializadora Health Grow,"Av. División del Nte. 2745-piso 4, San Lucas, Coyoacán, 04030 Ciudad de México, CDMX",52042511,19.3502446,-99.1511746,NULL,NULL,,,"Tienda de comestibles, periódicos y medicamentos"
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Allneti Sa De Cv,"Pafnuncio Padilla 13, Cd. Satélite, 53100 Naucalpan de Juárez, Méx.",NULL,19.5127127,-99.2317522,allneti.com,NULL,,,Servicio de informática
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DURI INSTRUMENTOS Y CONTROLES,"Av. Central 314, Pro Hogar, Azcapotzalco, 02600 Ciudad de México, CDMX",55 5355 3720,19.476516,-99.1585341,duriinstrumentosycontroles.com.mx,NULL,,,Empresa de suministros industriales
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DISTRIBUIDORA DE REPUESTOS INDUSTRIALES S.A. DE C.V.,"Tlatilco 229-3, Tlatilco, Azcapotzalco, 02860 Ciudad de México, CDMX",55 5556 9381,19.4643369,-99.1617247,facebook.com,NULL,8 reseñas,"4,4",Ferretería
Viajes Dua Tours S.A. de C.V.,"Del Valle Centro, C. J. Enrique Pestalozzi 909, Narvarte Poniente, Benito Juárez, 03100 Ciudad de México, CDMX",55 5687 2778,19.3853394,-99.1599897,NULL,NULL,1 reseña,"5,0",Agencia de viajes
Oficinas Virtuales - Vo Group,"Heriberto Frías 1439, Col del Valle Sur, Benito Juárez, 03104 Ciudad de México, CDMX",,19.3737501,-99.1643392,,NULL,26 reseñas,"4,1",Alquiler de oficinas virtuales
Cuaderno MONKY,"C. Escobillera 11A, Área Federal Central de Abastos, Iztapalapa, 09819 Ciudad de México, CDMX",55 5845 9784,19.3802777,-99.0789295,NULL,NULL,45 reseñas,"3,8",Cerrado permanentemente
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Todo un Universo en Globos,"Local F y G, Pje. Mesones-salvador 149, Cuauhtémoc, 06000 Ciudad de México, CDMX",55 5522 4740,19.4279046,-99.1304645,lacasadelglobo.com,NULL,815 reseñas,"4,1",Tienda de globos
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cruzaquim,"Guadalupe Victoria, Santa María Aztahuacan, Iztapalapa, 09570 Ciudad de México, CDMX",55 5642 8535,19.3577748,-99.0265247,NULL,NULL,,,Comercio
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Desarrollos de Energía de México SA de CV,"Av. San Jerónimo 550, Jardines del Pedregal, Álvaro Obregón, 01900 Ciudad de México, CDMX",55 5683 8343,19.3319929,-99.2074139,NULL,NULL,29 reseñas,"4,0",Asesor de construcción
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Estado de México,NULL,NULL,19.4968732,-99.7232673,NULL,NULL,NULL,NULL,NULL
"Tecnoalimentos, S.A. De C.V.","Carretera Estatal 210 Km 3.75, Coyme, 76245 Qro.",442 246 2122,NULL,NULL,tecnoalimentos.com.mx,NULL,2 reseñas,"4,5",Fábrica
INNOVACERO.,"Del Mar, Valle Soleado, 67115 Guadalupe, N.L.",84790500,NULL,NULL,NULL,NULL,5 reseñas,"3,6",Taller de metalurgia
Súper Mayoreo de Carnes de Parral SA de CV,"Abraham González #10, Las Quintas, 33800 Hidalgo del Parral, Chih.",627 522 0255,NULL,NULL,smcparral.com,NULL,14 reseñas,"4,1",Mayorista de carnes
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"SIBSA, Sucursal Durango, Seguridad Industrial del Bajío, SA de CV","Blvd. Francisco Villa 1098, Guadalupe, 34220 Durango, Dgo.",618 150 2069,NULL,NULL,sibsa.com.mx,NULL,19 reseñas,"2,8",Empresa de suministros industriales
Administracion Medica Especializada S.A de C.V,"NO. 124E, C. Alfonso Herrera, San Rafael, Cuauhtémoc, 06470 Ciudad de México, CDMX",NULL,19.4406959,-99.1661779,admonmed.com.mx,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Constructora Rascon S.A. De C.V.,"Luis Estavillo Muñoz, 701-B, Barrio del Nte, 31300 Chihuahua, Chih.",614 410 8654,NULL,NULL,NULL,NULL,,,Empresa constructora
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"CP RUSTICOS MEXICANOS, S. DE R.L.","Calle Diagonal de la 5 Pte 108, 74325 Centro, Pue.",NULL,19.009726,-98.3343636,NULL,NULL,3 reseñas,"4,7",Tienda de muebles
"Zapaterías 5 Hermanos de Texcoco, S.A. de C.V.","C. Fray Pedro de Gante 11, Centro, 56100 Texcoco, Méx.",595 925 0866,19.5139985,-98.8842143,NULL,NULL,1 reseña,"5,0",Zapatería
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Optec Sistemas,"Canal Campeche 290, Hipódromo, Cuauhtémoc, 06140 Ciudad de México, CDMX",55 5264 4278,19.4082939,-99.170972,NULL,NULL,,,Imprenta
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Disenos Españoles,"C. Escape 24-A, Alce Blanco, 53370 Naucalpan de Juárez, Méx.",55 5576 7181,19.4694421,-99.2210685,NULL,NULL,213 reseñas,"4,0",Cerrado permanentemente
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
LONEXI,"E. Pallares y Portillo 103, Parque San Andrés, Coyoacán, 04040 Ciudad de México, CDMX",55 5336 3620,19.346322,-99.1494719,lonexi.com,NULL,2 reseñas,"5,0",Proveedor de sistemas de seguridad
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
RANDOM INTERACTIVE S.A. DE C.V.,"Abasolo 128, Del Carmen, Coyoacán, 04100 Ciudad de México, CDMX",55 4444 2104,19.3548095,-99.1612301,random.com.mx,NULL,NULL,NULL,NULL
AureaCode,"Felipe Villanueva, Colonia Morelos, 50120 Toluca de Lerdo, Méx.",722 212 2447,19.2800131,-99.6655605,aureacode.com,NULL,4 reseñas,"5,0",Empresa de medios de comunicación
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MDS COMERCIALIZADOR DE IXTAPALUCA,"Av. San Buenaventura # 39, La Venta, 56530 Ixtapaluca, Méx.",55 5972 0512,19.3001131,-98.8839073,mdscomercializador.com,NULL,20 reseñas,"3,3",Empresa constructora
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Industria y Servicios Madereros SG S.A. de C.V.,"Pelícanos 65, Lago de Guadalupe, 54760 Cuautitlán Izcalli, Méx.",55 5861 2471,19.6277313,-99.2471694,puertasyvitrales.com,NULL,3 reseñas,"5,0",Fábrica de puertas
"Fabrica de Cerillos y Fosforos La Independiente, S.A. de C.V.","San Isidro, 54730 Cuautitlán Izcalli, Méx.",55 5871 1599,19.659541,-99.204311,cerilleralaindependiente.com.mx,NULL,4 reseñas,"4,8",Fábrica
Quimadi,"Lirio 16, Tamaulipas, 54750 Nezahualcóyotl, Méx.",55 5881 9019,19.4162049,-99.0289965,NULL,NULL,4 reseñas,"4,3",Tienda de materiales para la construcción
Carrocerias Montoya de Aguascalientes S.A. de C.V.,"Aquiles Serdán 1030, Buenos Aires, 20020 Aguascalientes, Ags.",449 914 1786,NULL,NULL,NULL,NULL,49 reseñas,"4,6",Taller de automóviles
Alta Mecánica Industrial S.A. de C.V.,"Av. Industria (Av 9-A) 55, San Pablo Xalpa (Zona Ind.), San Pablo Xalpa, 54090 Tlalnepantla de Baz, Méx.",55 5392 3111,19.5214155,-99.1691619,NULL,NULL,1 reseña,"5,0",Taller mecánico
"Microsistemas Computacionales De Colima, S.a. De C.v.","Calle Ignacio Zaragoza 230, Centro, 28000 Colima, Col.",NULL,NULL,NULL,NULL,NULL,,,Servicio de informática
Servicio E Importación de Ram S.A. de C.V.,"Eje 4 Ote. Avenida Rio Churbusco 1120, INFONAVIT Iztacalco, Iztacalco, 08900 Ciudad de México, CDMX",55 5650 9113,19.3982935,-99.0833879,NULL,NULL,,,Tienda de fotografía
INTERBIKE S.A. DE C.V.,"TOPACIO 13 ACC. A, Centro, Cuauhtémoc, 06090 CDMX",55 5522 7024,19.4269723,-99.1325196,negocio.site,NULL,,,Tienda de bicicletas
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Excelencia Gastronómica,"Av. San Jerónimo 750-Local B, San Jerónimo Lídice, La Magdalena Contreras, 10200 Ciudad de México, CDMX",55 2837 1241,19.3302841,-99.2133122,excelenciagastronomica.mx,NULL,,,Sala de banquetes
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Tecid, S.A. de C.V.","Av 3-A No 52, Santa Rosa, Gustavo A. Madero, 07620 Ciudad de México, CDMX",55 5389 1298,19.519696,-99.1649276,tecid.com.mx,NULL,5 reseñas,"4,2",Servicio de reparación de aire acondicionado
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Admaster,"66267, Av. Ricardo Margain Zozaya #575-Edificio “C, Santa Engracia, 66267 San Pedro Garza García, N.L.",81 8345 9584,NULL,NULL,NULL,NULL,,,Empresa de software
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Carton and Service SA de CV,"Buenos Aires 300-a, Valle del Nogalar, 66480 San Nicolás de los Garza, N.L.",81 8350 5061,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Servicio Cruz de México 2003, S.A. de C.V.","San Simon 142 & Rafael Solana y Canarias, 03660 Ciudad de México, CDMX",55 5605 9237,19.375637,-99.1466187,NULL,NULL,53 reseñas,"3,3",Taller de reparación de automóviles
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Construrama Cemento y Materiales Puente Grande S.A. de C.V.,"Carretera México-Tepoztlan Km 38, Santa Barbara, 54831 Cuautitlán Izcalli, Méx.",55 5895 0236,19.7129485,-99.1947247,construramaprohogar.com.mx,NULL,3 reseñas,"4,3",Cerrado permanentemente
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Electrical Products Supply S.A. de C.V,"Manuel J othon 59, Obrera, Cuauhtémoc, 06800 Ciudad de México, CDMX",55 5588 6658,19.4148533,-99.1406193,m.encuentren.me,NULL,2 reseñas,"4,0",Tienda de electricidad
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Merkoma S.A. de C.V.,"Corregidora # 857 Oriente Interior # 1, Col. Centro, 27000 Torreón, Coah.",871 713 5090,NULL,NULL,NULL,NULL,1 reseña,"4,0",Comercio
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
abits,"José Luis Lagrange 103-Piso 9, Polanco, Polanco I Secc, Miguel Hidalgo, 11520 Ciudad de México, CDMX",55 3300 0600,19.4383812,-99.2109598,abits.com,NULL,,,Centro de negocios
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AG METAL SA de CV,"Av. Diego Díaz de Berlanga 100, Sin Nombre de Col 2, Carmen Romano López Portillo, 66444 San Nicolás de los Garza, N.L.",81 8350 1856,NULL,NULL,ag-metal.com.mx,NULL,4 reseñas,"4,3",Calderería industrial
Grupo Leos Hnos Sa De Cv,"C. Aida 216, Peñitas, 37180 León, Gto.",477 718 6950,NULL,NULL,NULL,NULL,8 reseñas,"4,0",Cerrado permanentemente
Mini Burbujas - Tienda de Fábrica,"Blvd. la Luz # 1728, San Pedro de los Hernandez, 37280 León, Gto.",477 771 7373 ext. 342,NULL,NULL,miniburbujas.mx,NULL,26 reseñas,"4,2",Zapatería
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DTC CENTRO SA DE CV,"Av. 5 de Febrero 1025-7, San Antonio de la Punta, 76137 Santiago de Querétaro, Qro.",442 216 7810,NULL,NULL,dtcpvc.com,NULL,180 reseñas,"4,3",Servicio de distribución
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Fabrica de Higienicos y Tubos de Carton S.A. de C.V.,"Poniente 2 S/N Lote 30 Manzana VII, Cd Industrial de Celaya, 38010 Celaya, Gto.",461 612 4207,NULL,NULL,fhitusa.com.mx,NULL,5 reseñas,"4,6",Proveedor de productos de limpieza
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
José Vázquez Vázquez,"Av. de los Tlaxcaltecas 20, Pueblo de la Laguna, 47410 Lagos de Moreno, Jal.",474 741 1974,NULL,NULL,NULL,NULL,2 reseñas,"5,0",Empresa de mensajería
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Hotel Excelencia de America Moroleón,"Av. America 721, El Progreso, 38870 Moroleón, Gto.",445 458 0537,NULL,NULL,NULL,NULL,1.077 reseñas,"4,0",NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Aceros y Electrodos Apatzingán,"Manuel de Alderete y Soria 347, Centro, 60600 Col Apatzingán, Mich.",453 537 5718,NULL,NULL,NULL,NULL,60 reseñas,"4,4",Tienda de materiales para la construcción
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Calzado Gala,"Carretera León-San Francisco, Av. Paseo de las Jacarandas, Gto.",476 743 1322,NULL,NULL,NULL,NULL,58 reseñas,"4,2",Tienda de botas
"Tostadas Fanny, S. de R. L. de C.V.","De Los Pescadores 120, Barrio de Sta Maria, 38940 Yuriria, Gto.",445 168 5114,NULL,NULL,tostadasfanny.com.mx,NULL,15 reseñas,"4,5",Restaurante mexicano
Refaccionaria Grandel Partes Automotrices,"General Ignacio Zaragoza 353, Centro, 61650 Tacámbaro de Codallos, Mich.",459 596 0102,NULL,NULL,NULL,NULL,156 reseñas,"4,0",Tienda de repuestos para automóviles
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EMPAQUES Y SERVICIOS TECNICOS,"Diagonal 20 de Noviembre 293-Local 7, Cuauhtémoc, 06800 Ciudad de México, CDMX",55 6391 0847,19.4214173,-99.1380173,NULL,NULL,,,Servicio de reparación de electrodomésticos
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
COMERCIALIZADORA DE ACEROS LA PIEDAD S.A DE C.V,"C. Blvd. Lázaro Cárdenas 4522, 59300 La Piedad de Cabadas, Mich.",352 525 8926,NULL,NULL,NULL,NULL,35 reseñas,"4,0",Empresa de hierros y aceros
Distribuidora de lentes de marca y optica Emporio Milani S.A. de C.V.,"Blvd. Luis Donaldo Colosio 555-local 7B, Valle Real 1er Sector, 25205 Saltillo, Coah.",844 485 3200,NULL,NULL,NULL,NULL,1 reseña,"5,0",Óptica
Varu Fábrica De Muebles,"Joaquín Amaro 35, Francisco Villa, Iztapalapa, 09720 Ciudad de México, CDMX",NULL,19.335287,-99.0596861,webnode.mx,NULL,3 reseñas,"3,7",Tienda de muebles
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ATG,"Anillo Perif. Nte. 4113, San Juan de Ocotán, 45019 Zapopan, Jal.",33 3673 7060,NULL,NULL,suenantodos.com.mx,NULL,94 reseñas,"4,5",Agencia de alquiler de equipos
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MERCA SHOES SA DE CV,"AV, San Juan 362-A-Bodega 11, El Coecillo, 37260 León, Gto.",477 713 3770,NULL,NULL,NULL,NULL,,,Fábrica de zapatos
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
SESAJAL S.A. de C.V.,"C. 22 2332, Colón Industrial, 44940 Guadalajara, Jal.",33 3134 3470,NULL,NULL,sesajal.com,NULL,204 reseñas,"4,3",Fabricante de condimentos de alimentos
Tequilera El Triángulo,"Independencia 60, Usmajac, 49330 Sayula, Jal.",342 422 2999,NULL,NULL,tequileraeltriangulo.com,NULL,5 reseñas,"4,8",Mayorista
Comercializadora González Cárdenas,"C. Gordiano Guzmán Cano 85, Valle Dorado, 49095 Cd Guzman, Jal.",341 413 0920,NULL,NULL,NULL,NULL,4 reseñas,"4,8",Mayorista
Jecor,"Francisco Guzmán 42, Solidaridad La Paz 2a. Etapa, 49097 Cd Guzman, Jal.",341 412 3583,NULL,NULL,jecor.com.mx,NULL,37 reseñas,"4,3",Supermercado
Membranas Los Volcanes,"Autopista, Colima Km 2, 49000 Cd Guzman, Jal.",341 414 6431,NULL,NULL,membranaslosvolcanes.com,NULL,17 reseñas,"4,8",Fábrica
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Baruch Automotriz,"Blvd. Bernardo Quintana 114, Carretas, 76050 Santiago de Querétaro, Qro.",442 213 7037,NULL,NULL,instagram.com,NULL,6 reseñas,"4,2",Taller de reparación de automóviles
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Metro Arquitectura, Sa De Cv","C. Gral. San Martín 353, Col Americana, Obrera, 44150 Guadalajara, Jal.",33 3030 5944,NULL,NULL,NULL,NULL,,,Arquitecto
SAMEX | Servicios Agromex (Centro),"Carr. Panamericana Km. 102.3, Entronque Carr. Teocaltiche - Jaralillo, 47270 Encarnación de Díaz, Jal.",499 322 0729,NULL,NULL,serviciosagromex.com.mx,NULL,1 reseña,"5,0",Servicio de reparación de maquinaria agrícola
McCain Foods México S.A. de C.V.,"Cruz Manca, Av. Santa Fe 505-piso 6, Santa Fe, Contadero, Cuajimalpa de Morelos, 05349 Ciudad de México, CDMX",800 062 2246,19.3579957,-99.2740083,mccain.com.mx,NULL,8 reseñas,"3,9",Oficinas de empresa
Ice Stones | Hielo Premium,"Av. Constituyentes No.196, Casa Blanca, 76030 Santiago de Querétaro, Qro.",442 216 6357,NULL,NULL,NULL,NULL,,,Proveedor de hielo
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Duala Maquinaria ligera,"Prol 2 Sur 6371, Lomas del Sur, 72470 Puebla, Pue.",222 315 2130,19.0034877,-98.2179138,dualamaquinaria.mx,NULL,5 reseñas,"4,8",Proveedor de maquinaria de construcción
